protein,task_id
SNRK,fc9cfc71-bdc3-4993-bc38-dfa29d9a45c2
CASK,aae01625-a869-4aec-90b2-d1f53aefbf5a
DAPK1,e52764da-049d-4c03-84e5-8799758848a8
DAPK2,f30c489d-f881-47c5-aa87-96fdf12f4878
DAPK3,0e1612bf-37d9-40df-818f-bb4255de184e
STK17A (DRAK1),dc032680-88f2-45b7-be40-69f5b132cbf2
STK17B (DRAK2),c0a882fc-5371-41b1-ada3-c1cb6cc138f6
DCLK3 (DCAMKL3),0c9d4070-db2e-4c51-a2ba-66d69aae7294
MAPKAPK2,1942e328-5f3a-4f6a-8859-35b86955ed76
MAPKAPK3,63ac3358-681a-4dab-aff1-317c3ef50b0c
MAPKAPK5,e7321f40-5f12-4ccd-889c-584418ee3202
MKNK1 (MNK1),fc58775a-8a7f-485c-a18f-eb7bd60be4c4
MKNK2 (MNK2),da54400e-e8d1-4300-8e0c-5e18aa767170
MYLK (smMLCK),4db65aba-de2a-4856-bd41-ea1629cc8568
MYLK2 (skMLCK),6d970213-bc8a-44d8-bce2-acb6fc0b697a
MYLK3 (caMLCK),8d0ee5e8-9c19-4c21-83e1-3b85d836110d
MYLK4 (SgK085),e1aa668e-4597-464f-80c3-1517be4903c8
TTN,3420345d-d876-42a3-94ab-4349460d0ca4
PHKG1 (PhKγ1),3cf91d61-1a88-4e69-bc33-41ecb20c32d2
PHKG2 (PhKγ2),fac6c7a6-8232-43a7-a13d-293bb292dd80
PIM1,d24b4347-34db-4f72-883c-e8e0ffc1bc43
PIM2,c7cdf4a0-125b-4da8-954d-24450cd4e0b6
PIM3,3d4750cb-dd63-4d2b-b330-e5d662f950a0
PRKD1 (PKD1),2b4600c2-b230-48c4-944a-48bb06a87d1c
PRKD2 (PKD2),be9e172f-0865-4f2c-ab8a-3a7e7d5ea337
PRKD3 (PKD3),7e35b796-597b-4c69-880a-a8266b9f40b6
PSKH2,0762cd39-d111-49a4-b49d-cdb68e870527
RPS6KA4-b (MSK2~b),65f4578a-191d-4cab-8ebc-fc051ed014fc
RPS6KA5-b (MSK1~b),c1b35d86-afe2-4b76-85da-811bb7edc48f
RPS6KA1-b (RSK1~b),e14c27c6-e188-4095-9169-3837b9a343f5
RPS6KA2-b (RSK3~b),c3d66266-c67e-4af2-afe1-eda804c60841
RPS6KA3-b (RSK2~b),3c7b6380-cb8b-4420-9a9d-e294d2720abb
RPS6KA6-b (RSK4~b),03f12bef-3621-41f9-b1d1-1234cf6cdcbb
STK40 (SgK495),199b7db8-4439-4cab-89d8-5884327c40b1
STK33,bc36b0ec-42e4-4202-b868-7cd8e044bfe9
TRIB1 (Trb1),053d2e28-8ef7-4ac0-ad7c-d5cb80e3a02f
