gene_name,task_id
PSKH1,54bd6f66-d533-469a-9292-0dbe04951957
IRAK1,74e52724-9de5-442e-92ee-761e99568eca
IRAK2,252b285f-7bba-4711-981a-5691f3045f56
IRAK3,1a91a724-4241-4c03-9a0f-24081ca851fa
IRAK4,bbdcd05b-be2d-464a-a623-60ade8a9ad84
TAOK1,ce809ffe-c5b9-460f-ab04-2be7910df09b
CHEK2,301cf939-1297-4bef-8500-05f3e35c0131
RIPK1,6d6eab2a-ff13-40b9-85b0-01c504086457
RIPK2,d262fd0f-7877-4554-92f9-6fde36b5bc18
RIPK3,d50bbe84-6d3a-443a-87d0-dfc449c380fa
RIPK4,e30ee2fb-5ad4-4f88-ae06-6499f5887d9f
JAK1,f803cadf-bd80-4e13-9b15-c401aee0522c
JAK2,723fa012-fc50-47f1-993b-eec45b44c61d
JAK3,7fe4866b-b7b5-4fb4-a88d-35d6b62eea25
TYK2,c278b0e1-59d0-4d47-90ce-8fca52adfecd
TRPM6,b4b88a3d-690a-4fb7-bcce-8d5607b2acc3
TRPM7,f36a14e0-e5bc-4426-96e6-78691ba6b48c
TLK1,8a7ac7a0-f1aa-4b59-a718-a296f3940c66
TLK2,ea5a0a33-a2b9-4f1b-b6ca-abac8b3c64e3
LIMK1,127adaa1-f514-481d-b252-2d896ba315b6
LIMK2,353b35da-dadf-44fa-b2e4-dcef5065ad4b
ETK,f08515c9-b839-474f-abb4-7f4c1d94ef17
BTK,4a1f5fae-1924-45fe-bb8b-c065f8f0bef3
ITK,1eb0e856-f082-4870-8226-af63d6d16ea7
TEC,a76703a2-6708-4b0a-9bc4-47c8ac9df4c4
TXK,a04b951d-005a-4d9d-8766-106798de1af9
FRK,a519f249-5a47-4ddb-9688-73926a94035b
FGR,745199e9-dfac-4caa-be0a-c2fcb669a335
FYN,ab95cc9b-2deb-43dd-9aa0-64b36028c3b0
SRC,3c408368-4f18-4402-8f9c-59033fc758ef
YES1,09138e78-b87d-464c-9e46-108df911e299
BLK,5c3c59e3-d990-434e-8d45-cbb456d3444f
HCK,43058f48-0637-449d-9edc-1ba4330109c2
LCK,d40e77e3-d4de-4a7c-8bbd-e02a4f09343a
LYN,fe0c21a1-2677-4173-a7d9-de72c656686b
ABL1,b557367f-98a5-4896-b38e-f0d1ce9118b3
ABL2,05bf19c8-0ae4-4f50-b0af-3ccb5138564c
CSK,655b8098-9d38-4a66-84c7-a968aa6d548a
MATK,8affca97-b44f-4767-8bd3-bdabd5c4837f
MAPK1,e07c307a-2002-4ae4-8819-be2119f50109
MAPK3,80c7ae46-7824-4436-ae70-5b9858dcf935
MAPK4,6ef2a52b-63e6-4fb4-a9c5-e80cb018b0fd
MAPK6,e08142d9-4ad3-41d9-a99e-b41839fcae8a
MAPK7,ae6314cc-000f-4021-ac17-d9b3658e4745
MAPK15,684c9eb8-7e4e-44cb-a5c1-b4bb20cc20f0
MAPK8,6938fb81-592b-4523-9acc-41b1b7fef036
MAPK9,90b09a84-33cf-4f83-a0db-bab3200932d0
MAPK10,6d8cf155-7488-48f5-a740-d3fc6e75ede2
RPS6KB1,5c8289e2-3e57-4692-888d-893e241ce960
RPS6KB2,b252bc00-cf7f-48b4-84a1-26d1ce3aaac1
EIF2AK4,2b4eb3d3-b724-4d7d-b017-1e86b8029150
ATM,32ac47cc-4034-443c-9314-8b8feb735b27
MTOR,0018a6e9-9660-4d97-984f-0d038f3caf50
CDK1,f17f02be-9170-45b9-8c37-ba9ef9a3d164
CDK2,5b9d5d83-bc0f-476d-83ad-051751fffb95
CDK3,86bed6ef-977e-4b70-8f43-03e44610bef4
CDK4,06e861fa-0d67-45bd-be87-c06ea55d37a6
CDK5,4a39493c-9157-436c-a130-0483f09f8f1f
CDK6,8600a7db-6e81-4828-bf77-8da046ee3608
CDK7,31aa0fa3-3712-44ed-a312-db23370018b6
CDK9,3e282fed-afdc-4358-8014-2a9c8d649daf
CDK10,4209c08c-10ea-40db-b645-e7189b5c7a9b
CDK14,d1396082-a165-4e10-98f8-654690cb0c1e
CDK15,caa61090-c5d9-4ef0-a019-76b6214888d8
CDK16,0f8b6515-e936-47eb-89ea-8eb7a721347d
CDK17,eb6b2f19-d726-4b37-b170-f1f9f6f77745
CDK18,1b7ed03a-7b97-40d8-8879-09d042435444
CDK20,21fe144d-0032-4be1-a78c-713c0f4f3494
FN3K,b62d5f56-d787-4e0f-bfb1-521a18c01d4b
DCLK1,c96f0890-774c-401c-98fe-391538192f39
DCLK2,c34a69fa-289c-434d-967e-30939b12f94a
BRSK1,8f7c524a-65a3-44f6-9aa4-3f9d2e43b43b
BRSK2,424c67d5-ff96-4868-b61c-27579d8f3597
FAM20C,a8949060-7903-42d6-b720-6242d85602d2
PRKAA1,77a8c55f-92a9-44a1-b659-26436ad2b0ce
MAPK11,9e856300-b77d-4703-bed1-92a5052c0105
MAPK12,6faa1d7d-3553-4543-9c5f-5e20bd78b548
MAPK13,da0bf17d-885a-4a71-9528-c93a7c0d1b10
MAPK14,33175672-d8b3-48bc-8b96-b66a71aba0f8
PRKAA2,fb8f5977-e090-4f3d-acc3-730286bf12e6
SGK1,3a6b9bb0-6638-44a1-a3e5-03b6dbbd4b1a
