gene_name,task_id
PSKH1,e0b89ba7-b1a6-49dd-914c-54ddea7611fc
IRAK1,b2eaf8e9-29df-43db-af5d-264525e6c4b0
IRAK2,b9b79a5f-574d-4710-b481-5ca1eb05cde7
IRAK3,fec81ed3-fcea-489c-9bc5-295118e254ae
IRAK4,f58cf9f0-1e23-417e-83c9-b1d5f6f44e38
TAOK1,ae5ae74a-6922-465d-8c5f-a04fe41454f0
CHEK2,b4234346-1da9-4d53-b811-1d66292b2c2c
RIPK1,2c031143-926c-410f-bd36-72be1ce279b0
RIPK2,d46f07b7-3b5b-4f57-9f53-8d67949f5f51
RIPK3,6d6a74e5-b776-4a62-bc23-54887dbb38a4
RIPK4,cbe243d4-b2ad-41a0-859b-7f438f6615db
JAK1,4d79b6b6-2f95-4fe8-ba56-a8f8e81032d8
JAK2,b20c5fc5-0662-488c-952f-a3b5bd264352
JAK3,2da8b989-fd2c-41db-b062-de02b9a25805
TYK2,60a8cad5-aa00-4f4c-a733-8924910fd9db
TRPM6,f55ec0ad-f6a8-40b9-b345-ba37bc61c7c1
TRPM7,8197847b-0e55-4ad0-afa6-8c0216c40dd1
TLK1,02bb69b2-5a25-4521-afa3-b85c83c10014
TLK2,45e06eca-c69e-4f3c-bd64-880c0187540b
LIMK1,3307e978-6969-4e83-b819-bf6a463192e0
LIMK2,df6b3ad5-0fc4-405e-bd3a-6a85276fb84c
ETK,64d5f4ba-d419-4fe1-b585-cb1ca1f250e3
BTK,57e5ff02-df3e-4288-a23d-6c22f5d9edec
ITK,9f580d65-ac3b-4ba1-9b40-a98fc2f9a56a
TEC,7ee051e3-c805-43c0-ad50-8db036383b5d
TXK,73bd957b-b243-47ce-9d7b-241b283ab179
FRK,f1d9f91f-1f08-41e6-974a-c9d3e9c5afa3
FGR,d9798973-5cf9-4162-ba55-81963beaf01b
FYN,d3748f8c-89fb-4971-a14b-5f691ef10783
SRC,4fa55061-a9bb-4511-96c2-1b17bca440cf
YES1,09cbb3da-2de3-4b4f-ba28-1988694bbb15
BLK,79ab79b2-b164-4cac-9da8-b916c13085da
HCK,04e0fd1a-ff6c-4f06-a268-76101cde6a92
LCK,fced65b7-b039-467e-baf8-bcfd82ac4197
LYN,880dd5ea-9e9c-4369-9dc3-bfc6cbae1654
ABL1,c2829935-d310-4f7b-aa04-2a4061048d95
ABL2,58084531-0805-473a-8274-9e332b957e89
CSK,29449622-22bf-4b4f-8a7c-127dbebb15e8
MATK,0377262b-e606-4e68-b237-cd68fb2e9e12
MAPK1,664eb1a8-4ed3-4594-b987-2accd27b926e
MAPK3,b009ca1b-0165-410d-a066-03a8832064d8
MAPK4,bb486f45-fb66-42b4-8d77-1605aa1e0c92
MAPK6,7bde262d-a8b1-43eb-8ece-8a4645c0e254
MAPK7,11e290c8-5ac8-48eb-8671-aaf818fd5d49
MAPK15,1cdf9062-eb98-4802-9157-fc763be3ba46
MAPK8,9af5e631-f146-4e4e-bfea-a7a5260a2ba2
MAPK9,238d4a50-d229-4ddc-9b27-c715a6df9bfb
MAPK10,eda65ef3-8662-4f3c-93a8-d9d554126190
RPS6KB1,ec08729c-853f-4957-9341-197ee42ac31e
RPS6KB2,aafbe16e-65f4-4a22-9178-22b358fd1594
EIF2AK4,83741c46-b640-4c17-a47e-3ae8689d0d77
ATM,3641c72f-a5e1-4042-8b24-8fbfba237d06
MTOR,e52ccbe1-2add-4364-9803-d0f1ea792866
CDK1,915e0733-3df4-4ed7-a324-99c937be44c8
CDK2,10aa93e3-47fd-483e-9be4-abb7c53a315e
CDK3,74c6ba52-c20e-4270-860f-470cc01cbc99
CDK4,c3d09d06-045e-4221-8bff-3331a6ea7a58
CDK5,05b12851-6d74-412b-bc7b-9bf9216565cd
CDK6,14623448-5007-46b9-b479-78105ae55673
CDK7,c0609d23-350b-453d-834a-05a9b2f5cd99
CDK9,f9b2a5ae-55b3-451c-875f-19641e028f2c
CDK10,9b47a306-3a84-496b-98f3-b2f7da780668
CDK14,fc0bf907-6103-4a81-b3cd-abbf90bbe1dd
CDK15,e2f9f7b4-d1ce-4aaa-8bdd-f0ee9b582d93
CDK16,5671b531-f38a-4780-8a79-71f710b62f0c
CDK17,cfbe6d83-f1cf-45c2-b9da-0b7eacbfa3ac
CDK18,c86a1ad0-caa9-42ef-861f-76a4cde59a76
CDK20,9446e835-3e5d-462e-bb6e-ddfb2d8a8d14
FN3K,31744387-a339-4574-a977-eaac99aeace7
DCLK1,50330a67-d58a-4526-bb7c-0d1c5dd09a88
DCLK2,e0741dee-5fd1-4856-ad6c-a867d405ade8
BRSK1,022f5c94-b1c2-4008-a6e2-934515a8f848
BRSK2,3e182bfa-c8e2-4a0c-9e5b-672ad6294837
FAM20C,55ba406d-1f9d-4057-b416-8fc2f85ca878
PRKAA1,31488d09-3719-4d5c-901e-a470686f37d3
MAPK11,f554de0a-e64b-4cbd-80ed-c8482341cc7c
MAPK12,7a3323b3-0449-4a79-b2c2-8b33b42d4da4
MAPK13,2570f043-2338-43e0-aeea-549552b99437
MAPK14,79fc6e40-93bc-45ec-ab98-a14b480fa18a
PRKAA2,c2bc083a-c0d0-4295-b3c7-c3fe990c690b
SGK1,a5f09ec8-c206-4de6-b3cc-2314435ccad8
